feature_id,description,trend,max_jump_value,max_jump_checkpoint,max_jump_checkpoint_name,max_probability,final_probability,good_count,bad_count,subset_counts
938,Mathematical minus signs or subtraction operators appearing in algebraic expressions and equations.,increase-stagnate,0.08959022399999997,10,pythia-160m-step1000,0.353580197,0.325774554,0,0,{'': 50}
578,"All instances are the relative pronoun ""that"" used to introduce restrictive relative clauses modifying preceding nouns.",increase-stagnate,0.1753254383,10,pythia-160m-step1000,0.279005958,0.279005958,0,0,{'': 50}
1221,"Nouns referring to methods, approaches, spatial locations, or procedural contexts in technical and formal discourse",increase-stagnate,0.3177670615,10,pythia-160m-step1000,0.388548569,0.364047057,0,0,{'': 50}
445,"Ordinal numbers and position indicators (first, 1) used to denote sequence, order, or enumeration in technical and academic contexts.",increase-stagnate,0.21976010999999998,10,pythia-160m-step1000,0.438707473,0.370714249,0,0,{'': 50}
2814,"Conditional statements beginning with ""if"" that introduce hypothetical scenarios or conditions in various contexts.",increase-stagnate,0.0370224921,10,pythia-160m-step1000,0.0889242548,0.0889242548,0,0,{'': 50}
600,"Auxiliary verbs ""have"" and ""has"" used in various grammatical constructions including perfect tenses, modal auxiliaries, and conditional statements.",increase-stagnate,0.321446503,10,pythia-160m-step1000,0.493521683,0.463407278,0,0,{'': 50}
607,"All instances are the conjunction ""but"" used to introduce contrasting or qualifying statements in sentences.",increase-stagnate,0.13210320999999997,10,pythia-160m-step1000,0.311681449,0.271538347,0,0,{'': 50}
1721,"Legal terms related to court rulings, judicial determinations, and legal decision-making processes.",increase-stagnate,0.10957058570000001,10,pythia-160m-step1000,0.16801791,0.155762636,0,0,{'': 50}
62,"The word ""as"" functioning as a comparative conjunction or adverb in various comparative constructions and phrases.",increase-stagnate,0.1696528837,10,pythia-160m-step1000,0.271537454,0.220359023,0,0,{'': 50}
1835,Possessive pronouns and determiners indicating ownership or association.,increase-stagnate,0.0641809192,10,pythia-160m-step1000,0.102452309,0.102230534,0,0,{'': 50}
2906,First-person plural pronouns and possessive adjectives used in political and organizational discourse.,increase-stagnate,0.134859591,10,pythia-160m-step1000,0.244554604,0.231571005,0,0,{'': 50}
2301,"Numbers appearing in statistical or mathematical contexts, primarily representing percentages, measurements, or numerical values in data analysis.",increase-stagnate,0.0340880256,10,pythia-160m-step1000,0.0744665702,0.0707010904,0,0,{'': 50}
2417,Mathematical variables and expressions that appear immediately after a space and dollar sign in LaTeX mathematical notation.,increase-stagnate,0.23497204519999998,10,pythia-160m-step1000,0.340067975,0.340067975,0,0,{'': 50}
2269,"Conjunctions and transition words that introduce causal relationships, temporal sequences, or logical connections between clauses.",increase-stagnate,0.01098765496,10,pythia-160m-step1000,0.0173474134,0.0143255852,0,0,{'': 50}
725,"Personal pronouns (""I"" and ""we"") that appear after a space in sentence contexts.",increase-stagnate,0.10932967100000002,10,pythia-160m-step1000,0.366010072,0.342872644,0,0,{'': 50}
361,Exclamation marks appearing at the end of quoted dialogue or exclamatory statements.,increase-stagnate,0.18430856,10,pythia-160m-step1000,0.35253112,0.322526413,0,0,{'': 50}
2755,The digit zero appearing in negative decimal numbers within mathematical contexts,increase-stagnate,0.131651711,10,pythia-160m-step1000,0.368837275,0.368837275,0,0,{'': 50}
2982,"Third-person pronouns (they, their, them) used as subjects and objects in sentences.",increase-stagnate,0.1342663994,10,pythia-160m-step1000,0.22834494,0.196939136,0,0,{'': 50}
2126,"Words appearing after spaces in contexts involving numerical quantities, alternatives, or conditional phrases, typically functioning as conjunctions or determiners in ""one or more"" or ""whether or not"" constructions.",increase-stagnate,0.14222307950000002,10,pythia-160m-step1000,0.21714713,0.202524521,0,0,{'': 50}
502,"The word ""more"" functioning as an adverb or part of comparative constructions to indicate greater degree, frequency, or intensity.",increase-stagnate,0.10436781690000001,10,pythia-160m-step1000,0.160545565,0.125200666,0,0,{'': 50}
1004,"Subordinating conjunctions and prepositions that introduce dependent clauses, comparisons, or logical relationships between ideas.",increase-stagnate,0.003220098,10,pythia-160m-step1000,0.00716360794,0.00635587339,0,0,{'': 50}
1047,"Temporal ordinal adjectives (first, next, last) used to indicate sequence or order in time.",increase-stagnate,0.1972308033,10,pythia-160m-step1000,0.30375173,0.292798776,0,0,{'': 50}
1741,"All instances are the indefinite article ""a"" preceded by a space in various sentence contexts.",increase-stagnate,0.20460548899999997,10,pythia-160m-step1000,0.446891993,0.426659695,0,0,{'': 50}
1407,Last names or surnames of people mentioned in various contexts.,increasing,0.275501382321,10,pythia-160m-step1000,0.392881954,0.342440198,0,0,{'': 50}
1276,"All instances are the word ""need"" (or its plural ""needs"") used as a noun referring to a requirement or necessity in various contexts.",increasing,0.21696076279999998,10,pythia-160m-step1000,0.48009841,0.451339614,0,0,{'': 50}
97,"Prepositions that introduce phrases indicating conformity, compliance, or relational positioning in formal or technical writing.",increasing,0.2631642621,10,pythia-160m-step1000,0.41103075,0.316978956,0,0,{'': 50}
65,"Legal terminology referring to parties in court proceedings, with some non-legal terms included",increasing,0.15514566519999998,10,pythia-160m-step1000,0.325404551,0.325404551,0,0,{'': 50}
208,"Instances of the modal verb ""can"" expressing ability, possibility, or permission in various contexts.",increasing,0.113533226,10,pythia-160m-step1000,0.31883717,0.31883717,0,0,{'': 50}
686,"Technical terms describing problems, malfunctions, or issues in systems and software.",increasing,0.14497368953,10,pythia-160m-step1000,0.303553849,0.303553849,0,0,{'': 50}
2461,"All instances use ""portion"" as a noun referring to a part or section of something larger.",increasing,0.010144080040000001,10,pythia-160m-step1000,0.0164719163,0.0136950841,0,0,{'': 50}
433,"French function words (articles, pronouns, conjunctions) preceded by a space token",increasing,0.0447648681,10,pythia-160m-step1000,0.116508063,0.109530165,0,0,{'': 50}
2377,"All instances are the noun ""people"" (and one ""person"") used as a general term referring to groups of individuals in various contexts.",increasing,0.0720797823,10,pythia-160m-step1000,0.181788104,0.181788104,0,0,{'': 50}
2412,Research and legal terminology with broader professional contexts,increasing,0.150002973,10,pythia-160m-step1000,0.251987654,0.251987654,0,0,{'': 50}
2700,"Infinitive verbs that follow ""to"" in sentences, representing actions or purposes.",increase-decrease,0.120181003,11,pythia-160m-step10000,0.235824339,0.168314444,0,0,{'': 50}
2541,Past participles used in perfect tense constructions (have/had + past participle).,increase-decrease,0.085986021,11,pythia-160m-step10000,0.193245529,0.142995374,0,0,{'': 50}
2880,"General nouns referring to unspecified objects, entities, or concepts, often used as vague or catch-all terms.",increase-decrease,0.13429199500000003,11,pythia-160m-step10000,0.261636028,0.184261166,0,0,{'': 50}
419,"Verb forms of ""use"" and ""used"" indicating utilization or employment of something.",increasing,0.05705983640000001,11,pythia-160m-step10000,0.141424643,0.130580229,0,0,{'': 50}
1905,"Forms of the verb ""have"" (including ""have,"" ""has,"" ""had,"" and ""having"") used as auxiliary or main verbs to express possession, experience, or obligation.",increasing,0.082357615,11,pythia-160m-step10000,0.240450415,0.240450415,0,0,{'': 50}
1892,"All instances of ""one"" used as a determiner or number word, typically in phrases like ""at least one"" or ""nearest one [unit]"".",increasing,0.217909378,13,pythia-160m-step100000,0.474328156,0.474328156,0,0,{'': 50}
