feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
32,1278,"Variable names, identifiers, and scientific/technical abbreviations used in programming code and academic literature.",1,11,0.52120702,increasing,1278
33,4897,"Single letter ""c"" used as a variable, parameter, or identifier in various technical contexts including legal citations, mathematical expressions, programming code, and figure references.",1,11,0.941225669,increasing,4897
34,4953,Decimal numbers beginning with zero in scientific and technical contexts.,1,11,0.69937689,increasing,4953
35,3292,"Modal verbs expressing desire, preference, or intention, typically used in conditional or polite constructions.",1,11,0.623317044,increasing,3292
36,3156,"The word ""possible"" appearing in constructions expressing maximization, optimization, or degree intensification (including superlative, comparative, and quantifying phrases).",1,11,0.683992755,increasing,3156
37,2376,"Words related to software licensing, distribution, and code documentation terminology",1,11,0.998613138,increasing,2376
38,2873,Words related to email newsletter subscription and digital content delivery services.,1,11,0.99085571,increasing,2873
39,3559,Programming language keywords for function and void return types in code.,1,11,0.858667873,increasing,3559
40,735,"Past tense forms of ""to be"" and modal verbs functioning as auxiliary verbs, linking verbs, or main verbs in sentence constructions.",1,11,0.632456437,increasing,735
41,3346,"Closing parentheses marking the end of statistical results, citations, or technical specifications in academic/scientific text.",1,11,0.618934058,increasing,3346
42,893,"The number ""10"" appearing in various technical, scientific, and business contexts as a numerical value or identifier.",1,12,0.719499074,increasing,893
43,5669,"All instances of ""new"" function as an adjective modifying nouns to describe something recently created, acquired, or established.",1,12,0.565917845,increasing,5669
44,2490,"Forms of the auxiliary verb ""do"" functioning as main verbs in infinitive constructions and direct questions",1,12,0.54664283,increasing,2490
45,5410,"Words referring to iterations, editions, or successive developments of technology, software, or products.",1,12,0.569492382,increasing,5410
46,354,"Infinitive marker ""to"" used to introduce purpose clauses or infinitive phrases indicating intention, direction, or objective.",1,12,0.420049229,increasing,354
47,22,"Demonstrative pronoun ""this"" used to introduce or reference video content in descriptive contexts.",1,12,0.577030946,increasing,22
48,3937,Contractions using apostrophe-s ('s) and apostrophe-re ('re) functioning as auxiliary verbs or pronouns in English sentences.,1,12,0.633968023,increasing,3937
49,3019,"Instances of the word ""following"" used to introduce lists, examples, or subsequent information in technical and legal contexts.",1,12,0.584409898,increasing,3019
50,4853,"All instances show the word ""into"" used in the phrasal verb ""take into account/consideration"" meaning to consider or include something in one's thinking or decision-making.",1,12,0.598408523,increasing,4853
51,5271,"All instances refer to ""jury"" as a legal term in court proceedings, appearing in various judicial contexts such as verdicts, deliberations, and trial procedures.",1,12,0.642410171,increasing,5271
52,3914,Programming comparison operators (== and !=) used in conditional statements and expressions across various programming languages.,1,12,0.589857255,increasing,3914
53,1736,"Instances of the word ""follows"" used to introduce explanations, descriptions, or lists that come after the current statement.",1,13,0.374476662,increasing,1736
54,2395,"Common English function words, pronouns, and other words that appear after spaces at clause or sentence boundaries",1,13,0.972610717,increasing,2395
55,388,"All instances are the word ""any"" (or ""ANY"") used as a determiner or quantifier in negative or restrictive contexts.",1,14,0.519731016,increasing,388
56,2535,"All instances show ""or"" functioning as a coordinating conjunction connecting alternatives or choices between two options.",1,14,0.566989957,increasing,2535
