160m_feature_id,160m_description,160m_trend,160m_acquired,160m_acq_checkpoint,160m_max_prob,160m_final_prob,6.9b_feature_id,6.9b_description,6.9b_trend,6.9b_acquired,6.9b_acq_checkpoint,6.9b_max_prob,6.9b_final_prob,sample_overlap,n_shared_samples,160m_n_samples,6.9b_n_samples,match_category
1467,Words used in phrases indicating minimum thresholds or requirements <SEP> Words used in comparative mathematical expressions,increase-stagnate,True,10,0.992380959,0.98982466,1467,"Technical phrase ""at least"" used in patent or scientific documentation to specify minimum quantities or requirements.",increase-stagnate,True,10,0.99915546,0.998665094,0.5384615384615384,35,50,50,Both Acquired
1808,Words functioning as pronouns or determiners that refer to previously mentioned entities or concepts in discourse.,increase-decrease,True,12,0.620436459,0.443669942,1612,"Demonstrative pronouns and adjectives used for reference and comparison (""other"", ""next"", ""same"").",increase-stagnate,True,11,0.897452742,0.897452742,0.5151515151515151,34,50,50,Both Acquired
664,"Prepositions ""to"" appearing after a space in formal or technical writing contexts.",increase-stagnate,True,7,0.995343543,0.992226801,664,"Instances of the preposition ""to"" appearing after a space in technical and formal writing contexts.",increase-stagnate,True,7,0.996033058,0.99555445,0.5151515151515151,34,50,50,Both Acquired
2732,"All instances show the word ""said"" used as a speech attribution verb following quoted dialogue in journalistic or narrative text.",increase-stagnate,True,9,0.908166122,0.900185646,254,"All instances are the verb ""said"" used in dialogue attribution to indicate who spoke the preceding quoted statement.",increase-stagnate,True,10,0.944744483,0.944744483,0.5151515151515151,34,50,50,Both Acquired
942,Semicolons appearing at the end of code statements or declarations in various programming languages.,increase-stagnate,True,10,0.977843713,0.977843713,2813,Semicolons used as statement terminators in programming code across various languages.,increase-stagnate,True,10,0.992499102,0.992499102,0.5151515151515151,34,50,50,Both Acquired
1450,URL protocol indicators appearing in web addresses and hyperlinks.,increase-stagnate,True,7,0.999938967,0.999938967,1108,URL protocol indicators (://) appearing in web addresses and hyperlinks.,increase-stagnate,True,7,0.999938967,0.999938967,0.5151515151515151,34,50,50,Both Acquired
1693,Variable assignment statements in programming code where variables are being assigned values using the equals operator.,increase-stagnate,True,10,0.975244958,0.956813627,1905,"Assignment operators in programming code, specifically the equals sign with spaces used for variable assignment.",increase-stagnate,True,10,0.987650214,0.984678606,0.4925373134328358,33,50,50,Both Acquired
604,"Instances of the preposition ""by"" used to indicate agency or means in various contexts.",increase-stagnate,True,10,0.976123666,0.976123666,2981,"All instances show the preposition ""by"" preceded by a space in various technical documentation, code comments, and text contexts.",increase-stagnate,True,10,0.991898295,0.991336464,0.47058823529411764,32,50,50,Both Acquired
1262,"Instances of the abbreviation ""e.g."" (exempli gratia, meaning ""for example"") used to introduce examples or illustrations in academic and technical writing.",increase-stagnate,True,9,0.997906964,0.994127022,1262,"Abbreviations used to introduce examples or clarifications in academic and technical writing (e.g. for ""exempli gratia"" meaning ""for example"" and i.e. for ""id est"" meaning ""that is"").",increase-stagnate,True,9,0.997726852,0.997529845,0.47058823529411764,32,50,50,Both Acquired
41,"Legal case citation abbreviation ""v"" (versus) used to separate parties in court case names.",increase-stagnate,True,11,0.934690626,0.888241028,179,"Legal citation abbreviation ""v."" (versus) used to separate opposing parties in court cases.",increase-stagnate,True,11,0.963600508,0.961836999,0.47058823529411764,32,50,50,Both Acquired
2550,"Plural nouns representing various categories, types, or instances of things across different domains and contexts.",increase-stagnate,True,11,0.603648195,0.544514388,2494,Plural nouns that appear after a space in technical and academic contexts.,increase-stagnate,True,11,0.841883421,0.841220877,0.4492753623188406,31,50,50,Both Acquired
2563,"All instances refer to ""court"" as a legal institution or judicial body in legal proceedings.",increase-stagnate,True,9,0.985103094,0.979072767,2491,Legal references to trial courts and appellate courts in judicial proceedings and case law.,increase-stagnate,True,9,0.985099576,0.985099576,0.4492753623188406,31,50,50,Both Acquired
2276,"Opening parentheses in function definitions, method calls, and conditional statements across various programming languages.",increase-stagnate,True,11,0.830869622,0.830869622,2851,"Opening parentheses in function calls, method invocations, and parameter lists across various programming languages.",increase-stagnate,True,10,0.984707871,0.984707871,0.42857142857142855,30,50,50,Both Acquired
217,Code formatting tokens representing spaces that appear before closing braces and return statements in various programming languages.,increase-stagnate,True,11,0.945127417,0.945127417,2209,Closing braces followed by spaces that mark the end of code blocks in various programming languages.,increase-stagnate,True,10,0.99275787,0.99275787,0.42857142857142855,30,50,50,Both Acquired
1092,URL protocol prefixes and web domain identifiers used in web addresses and hyperlinks.,increase-stagnate,True,11,0.528983006,0.480626408,1334,"All instances are the ""http"" protocol identifier appearing at the beginning of web URLs.",increase-stagnate,True,11,0.933956566,0.933956566,0.3888888888888889,28,50,50,Both Acquired
1587,"The word ""et"" appearing in academic citation formats, specifically in ""et al."" references used in scholarly literature.",increase-stagnate,True,11,0.780459378,0.704295228,396,"All instances represent the abbreviation ""et"" (meaning ""and"") in academic citations following the ""Author et al."" format used in scholarly literature.",increase-stagnate,True,10,0.778423162,0.689468313,0.3888888888888889,28,50,50,Both Acquired
1928,Code comments preceded by whitespace and comment delimiters in programming contexts.,increase-stagnate,True,11,0.887955205,0.805152511,2719,Code comment markers indicating the start of single-line comments in programming languages.,increasing,True,12,0.686934512,0.686934512,0.3888888888888889,28,50,50,Both Acquired
1909,HTML attribute values for reference type specifications in academic document markup.,increase-stagnate,True,7,0.999938967,0.999932592,1344,HTML/XML attribute values specifying reference types in academic document markup.,increase-stagnate,True,6,1.0,0.999938967,0.3698630136986301,27,50,50,Both Acquired
322,"Contracted forms of ""is"" used in informal speech and writing.",increase-stagnate,True,9,0.993210023,0.992520902,116,"Contracted forms of ""is"" and ""are"" in informal English text.",increase-stagnate,True,9,0.993939113,0.993939113,0.3698630136986301,27,50,50,Both Acquired
2794,Code snippets showing closing parentheses and semicolons at the end of programming statements or function calls.,increase-stagnate,True,10,0.930076126,0.905680561,2794,"Function calls and constructor invocations with string literals as arguments, followed by closing parentheses and semicolons",increase-stagnate,True,10,0.982059575,0.973198834,0.35135135135135137,26,50,50,Both Acquired
2682,"Abbreviations for ""United States"" appearing in formal legal, governmental, and official contexts.",increase-stagnate,True,9,0.996156562,0.995381022,1153,"Abbreviations for ""United States"" appearing in formal or official contexts.",increase-stagnate,True,9,0.998566067,0.998566067,0.35135135135135137,26,50,50,Both Acquired
2245,Javadoc comment beginnings that start method or class documentation sections in code.,increase-stagnate,True,9,0.998621936,0.996446512,821,"Asterisks appearing in code comment formatting, specifically as part of multi-line comment syntax in various programming languages.",increase-stagnate,True,9,0.998927079,0.998927079,0.35135135135135137,26,50,50,Both Acquired
602,LaTeX commands and syntax elements used in document formatting and mathematical typesetting.,increase-stagnate,True,10,0.795093698,0.759047969,564,"LaTeX backslash command markers appearing in various document contexts including code snippets, mathematical expressions, and programming output",increase-stagnate,True,10,0.958320897,0.95755061,0.3333333333333333,25,50,50,Both Acquired
2090,Words used in mathematical comparison questions asking which value is closest or nearest to a given number.,increase-stagnate,True,11,0.69081106,0.617922951,454,Adjectives used in mathematical comparison questions to find the value most similar to a given target number.,other,True,9,0.543291531,0.497517015,0.3333333333333333,25,50,50,Both Acquired
903,"Forms of the verb ""to be"" (are/were) used as linking verbs or auxiliary verbs in various sentence structures.",increase-stagnate,True,11,0.630167906,0.630167906,903,"Forms of the verb ""to be"" (are/were) used as linking verbs or auxiliary verbs in various sentence structures.",increase-stagnate,True,12,0.638272821,0.638272821,0.3157894736842105,24,50,50,Both Acquired
2968,"Mathematical expressions containing polynomial terms with variables raised to powers, appearing in calculus differentiation problems and algebraic manipulation exercises.",increase-stagnate,True,8,0.940963271,0.940963271,414,Whitespace or asterisks appearing between mathematical terms in algebraic expressions and calculus problems,increase-stagnate,True,7,0.99864544,0.998208094,0.3157894736842105,24,50,50,Both Acquired
