fid,frac,n_total,mean_act,modal,bucket,label
352,0.30000000000000004,24,0.9440000000000001,and,q1_lowest,
355,0.1,11,0.968,54,q1_lowest,
357,0.2,22,1.047,entire,q1_lowest,
358,0.4,50,10.051,of,q4_highest,
360,0.2,50,1.291,""",""",q2,
361,0.30000000000000004,50,1.07,and,q1_lowest,
364,0.1,50,1.6219999999999999,solution,q3,
382,0.2,50,7.566,spell,q4_highest,
384,0.4,29,1.138,oct,q2,
388,0.1,10,0.894,governors,q1_lowest,
405,0.30000000000000004,50,4.334,fear,q3,
409,0.2,50,1.159,600,q2,
410,0.2,50,1.71,the,q3,
414,0.2,50,1.4100000000000001,image,q2,
417,0.4,50,1.371,list,q2,
422,0.30000000000000004,50,5.425,leader,q3,
424,0.2,50,1.57,very,q3,
425,0.4,50,6.277,include,q4_highest,
426,0.4,20,1.223,n,q2,
429,0.30000000000000004,50,6.853,stories,q4_highest,
437,0.30000000000000004,50,6.362,press,q4_highest,
441,0.2,50,5.568,responsibility,q3,social-virtue/psychology vocabulary (responsibility/compassion/character/behavior)
444,0.30000000000000004,27,1.359,farmer,q2,
454,0.4,50,8.665,changes,q4_highest,
455,0.2,50,7.399,matter,q4_highest,
459,0.1,50,1.319,09,q2,
460,0.4,50,1.344,kind,q2,
466,0.2,32,1.094,let,q1_lowest,
473,0.2,50,1.389,kind,q2,
475,0.30000000000000004,36,1.037,<,q1_lowest,
477,0.0,50,4.717,,q3,
478,0.4,12,1.076,that,q1_lowest,
481,0.2,50,1.466,went,q3,
498,0.2,50,8.43,1988,q4_highest,
499,0.4,50,4.662,quasi,q3,
501,0.2,50,1.703,walks,q3,
507,0.30000000000000004,50,1.2810000000000001,mr,q2,
510,0.1,50,1.28,right,q2,
511,0.2,50,1.244,sure,q2,
514,0.1,50,1.245,on,q2,
515,0.4,50,9.815,and,q4_highest,
517,0.30000000000000004,50,1.148,of,q2,
522,0.2,34,1.034,version,q1_lowest,
523,0.2,50,1.149,02,q2,
528,0.2,27,1.011,relative,q1_lowest,
533,0.4,50,6.557,include,q4_highest,
535,0.2,50,1.141,up,q2,
543,0.2,50,1.355,acquainted,q2,
544,0.2,50,1.193,types,q2,
545,0.30000000000000004,50,12.416,engine,q4_highest,
546,0.4,50,4.888,bid,q3,
550,0.4,50,5.181,required,q3,
554,0.4,40,1.318,scripts,q2,
561,0.2,50,1.345,attended,q2,
566,0.2,23,1.113,sense,q1_lowest,'in this respect/sense' hedging-discourse phrase (formal argumentation) + sports standings
567,0.30000000000000004,50,7.698,inches,q4_highest,
569,0.4,24,1.077,season,q1_lowest,
579,0.30000000000000004,11,1.24,15,q2,
582,0.2,50,1.089,others,q1_lowest,
585,0.2,50,15.29,societal,q4_highest,abstract academic-register nouns (protocols/societal/possesses/phenomena/aspects)
587,0.4,50,4.337,brought,q3,
589,0.1,50,4.053,kick,q3,
591,0.2,50,1.5710000000000002,too,q3,
593,0.2,50,1.302,least,q2,
599,0.4,50,4.492,possible,q3,
602,0.4,13,1.089,taken,q1_lowest,
606,0.2,50,5.049,version,q3,
608,0.30000000000000004,50,1.17,little,q2,
612,0.30000000000000004,50,5.6370000000000005,const,q4_highest,
614,0.4,50,5.1,idea,q3,
616,0.4,50,10.588,is,q4_highest,
617,0.1,17,0.9550000000000001,been,q1_lowest,
621,0.2,50,1.218,particular,q2,
633,0.4,50,1.9060000000000001,genre,q3,
636,0.30000000000000004,14,1.175,hires,q2,
641,0.2,50,6.557,medical,q4_highest,
644,0.4,50,8.376,shows,q4_highest,
646,0.1,17,1.018,tackle,q1_lowest,
648,0.4,50,6.718,his,q4_highest,
651,0.2,50,5.71,\(,q4_highest,
654,0.2,50,1.425,equivalent,q2,abstract-noun grab-bag around 'equivalent' (chemistry/finance contexts) — weak theme
655,0.30000000000000004,50,5.124,played,q3,
658,0.2,50,1.52,such,q3,
659,0.30000000000000004,50,1.508,which,q3,
662,0.1,50,1.067,amber,q1_lowest,
663,0.4,50,6.478,in,q4_highest,
669,0.1,50,5.941,lord,q4_highest,
675,0.1,50,1.538,customer,q3,
678,0.2,11,0.932,vista,q1_lowest,
679,0.2,42,1.086,three,q1_lowest,
684,0.30000000000000004,50,8.665,influence,q4_highest,
687,0.4,50,7.889,more,q4_highest,
688,0.2,50,1.186,everybody,q2,
689,0.4,50,5.55,election,q3,election/voting lemma family (vote/votes/election/elected)
696,0.30000000000000004,50,8.28,load,q4_highest,
701,0.1,50,4.391,distant,q3,
703,0.2,36,1.087,consists,q1_lowest,
711,0.2,50,1.195,can,q2,
715,0.2,28,1.321,wishes,q2,
716,0.4,50,8.492,a,q4_highest,
723,0.4,50,7.592,),q4_highest,
725,0.4,50,4.89,**,q3,
736,0.4,50,8.278,$,q4_highest,
739,0.30000000000000004,12,1.647,=],q3,
742,0.30000000000000004,50,4.482,the,q3,
748,0.1,50,1.076,louder,q1_lowest,
750,0.4,50,5.538,key,q3,
751,0.2,50,1.62,such,q3,
752,0.4,50,6.913,s,q4_highest,
757,0.30000000000000004,38,1.154,&&,q2,
759,0.30000000000000004,50,1.294,operating,q2,
763,0.4,50,1.657,if,q3,
765,0.4,50,7.765,the,q4_highest,
766,0.4,50,1.6440000000000001,latter,q3,
767,0.30000000000000004,42,1.094,complexity,q1_lowest,
772,0.30000000000000004,10,0.9,via,q1_lowest,
773,0.4,25,1.289,coin,q2,
776,0.1,12,0.933,thresholds,q1_lowest,
784,0.4,15,0.922,property,q1_lowest,
786,0.4,50,1.137,would,q2,
790,0.30000000000000004,50,8.563,types,q4_highest,
808,0.2,50,1.371,|,q2,
809,0.1,50,1.105,cousin,q1_lowest,
810,0.4,50,3.475,strategies,q3,
814,0.2,50,7.61,his,q4_highest,
817,0.30000000000000004,50,5.9030000000000005,central,q4_highest,
823,0.30000000000000004,50,8.582,the,q4_highest,
826,0.1,34,1.002,for,q1_lowest,
830,0.30000000000000004,50,8.403,of,q4_highest,
834,0.2,31,1.041,deems,q1_lowest,
836,0.2,50,8.384,are,q4_highest,
840,0.1,50,1.123,wake,q2,
841,0.2,50,1.702,'s,q3,
845,0.4,50,10.256,they,q4_highest,
847,0.30000000000000004,35,0.991,-,q1_lowest,
855,0.4,50,6.964,85,q4_highest,
856,0.1,50,3.914,objects,q3,
863,0.4,50,7.946,starts,q4_highest,
864,0.0,50,7.038,,q4_highest,
865,0.30000000000000004,50,1.35,very,q2,
869,0.4,50,5.757,is,q4_highest,
870,0.1,50,1.28,what,q2,
871,0.2,50,7.204,as,q4_highest,
872,0.2,50,1.495,whom,q3,
875,0.2,50,1.399,son,q2,
879,0.30000000000000004,50,1.101,"),",q1_lowest,
884,0.30000000000000004,50,5.588,their,q3,possessive 'their' + infinitival 'to' in polemical/opinion prose (ideological claims)
885,0.4,50,1.416,whole,q2,
890,0.2,43,1.044,seem,q1_lowest,
895,0.1,33,1.015,replaced,q1_lowest,
898,0.2,50,1.366,things,q2,
900,0.30000000000000004,50,1.5590000000000002,},q3,
901,0.1,26,1.019,novel,q1_lowest,
902,0.2,16,0.969,7,q1_lowest,
904,0.2,26,0.981,and,q1_lowest,
907,0.30000000000000004,35,1.222,appreciate,q2,
911,0.4,50,9.064,take,q4_highest,
912,0.4,50,6.285,-,q4_highest,
914,0.4,50,4.168,a,q3,
921,0.30000000000000004,50,1.434,such,q2,"regulatory/statutory conditional register ('unless such person', 'no penalty shall be assessed', predictor variables)"
922,0.30000000000000004,50,1.184,don,q2,
926,0.2,18,1.03,happened,q1_lowest,
938,0.1,33,1.133,others,q2,
946,0.30000000000000004,40,1.073,so,q1_lowest,
947,0.2,50,1.417,:,q2,
950,0.30000000000000004,50,1.304,created,q2,
953,0.2,50,1.667,-,q3,
959,0.4,50,5.178,directly,q3,
960,0.2,50,1.09,that,q1_lowest,
965,0.1,50,4.953,associating,q3,
973,0.4,50,7.249,produces,q4_highest,
976,0.4,33,1.177,%,q2,
980,0.4,50,7.257,came,q4_highest,
986,0.30000000000000004,50,1.325,collective,q2,
989,0.2,50,1.094,particular,q1_lowest,
994,0.2,15,0.9550000000000001,you,q1_lowest,
995,0.2,50,6.324,meta,q4_highest,
996,0.4,50,5.866,chinese,q4_highest,
1000,0.4,50,6.042,28,q4_highest,
1001,0.4,50,1.383,use,q2,
1004,0.30000000000000004,50,6.755,refers,q4_highest,
1006,0.30000000000000004,50,7.394,=,q4_highest,
1011,0.4,19,1.2850000000000001,it,q2,
1012,0.2,50,5.635,behalf,q3,legal-document register: 'on behalf of' + section-symbol (§§) statute citations
1018,0.2,50,4.838,even,q3,
1022,0.4,50,7.175,appropriate,q4_highest,
1023,0.1,50,1.5670000000000002,region,q3,
1030,0.2,10,0.936,users,q1_lowest,
1034,0.2,50,6.121,gene,q4_highest,
1036,0.30000000000000004,50,1.09,.,q1_lowest,
1039,0.30000000000000004,23,1.228,if,q2,
1041,0.30000000000000004,50,5.698,impairments,q4_highest,
1046,0.4,50,8.702,may,q4_highest,
1051,0.1,50,4.686,""",""",q3,
1057,0.4,23,1.126,close,q2,
1063,0.30000000000000004,50,1.302,the,q2,
1064,0.1,50,9.698,products,q4_highest,
1065,0.1,50,6.877,pm,q4_highest,
1066,0.2,31,1.084,done,q1_lowest,
1071,0.30000000000000004,16,0.96,he,q1_lowest,
1073,0.30000000000000004,50,7.458,2,q4_highest,
1077,0.4,50,5.618,that,q3,determiner slot (a/an/the/that) introducing a scientific-finding clause ('this is consistent with...')
1092,0.2,10,0.9,sadly,q1_lowest,
1099,0.1,50,1.166,played,q2,
1101,0.4,50,5.954,student,q4_highest,
1103,0.2,50,1.343,i,q2,
1104,0.30000000000000004,31,1.182,clock,q2,
1106,0.30000000000000004,50,1.544,isn,q3,
1111,0.1,12,0.894,designer,q1_lowest,
1112,0.1,37,1.039,wed,q1_lowest,
1120,0.4,50,9.114,the,q4_highest,
1125,0.2,50,6.011,correct,q4_highest,
1129,0.1,32,0.976,its,q1_lowest,
1132,0.1,50,6.087,david,q4_highest,
1148,0.4,50,8.25,allowing,q4_highest,
1154,0.30000000000000004,50,1.287,countries,q2,
1155,0.30000000000000004,50,7.631,learn,q4_highest,
1156,0.4,50,11.876,values,q4_highest,
1159,0.4,45,1.064,a,q1_lowest,
1169,0.30000000000000004,50,1.357,of,q2,
1170,0.30000000000000004,50,5.075,presented,q3,
1171,0.2,50,7.966,hence,q4_highest,
1181,0.2,50,1.224,direct,q2,
1186,0.30000000000000004,50,8.572,use,q4_highest,
1187,0.30000000000000004,50,1.131,matter,q2,
1192,0.2,50,4.921,the,q3,
1196,0.30000000000000004,50,6.396,tables,q4_highest,
1197,0.2,50,1.58,et,q3,
1208,0.2,50,1.569,give,q3,
1209,0.1,50,1.177,0,q2,
1212,0.2,30,1.119,glory,q1_lowest,"grandiose rhetorical abstract nouns in predicate constructions ('a testament to', 'regain its glory', 'share his doom')"
1213,0.2,12,0.966,said,q1_lowest,
1214,0.1,50,1.189,salon,q2,
1221,0.30000000000000004,50,1.4060000000000001,necessary,q2,
1222,0.4,50,9.167,previous,q4_highest,
1223,0.1,50,5.179,india,q3,
1232,0.1,50,1.383,concentrations,q2,
1233,0.2,50,1.659,into,q3,
1237,0.2,50,1.426,better,q2,"comparative-epistemic prose ('this helps us live better', 'the most selfless person he had ever known')"
1238,0.2,15,0.9490000000000001,|,q1_lowest,
1239,0.2,47,1.089,kids,q1_lowest,
1247,0.4,16,1.015,close,q1_lowest,
1250,0.2,50,6.504,username,q4_highest,
1251,0.2,10,0.874,||,q1_lowest,
1254,0.4,50,4.93,allowed,q3,
1259,0.4,50,1.139,out,q2,
1260,0.4,22,1.068,the,q1_lowest,
1262,0.4,50,3.612,great,q3,
1268,0.2,50,1.871,they,q3,
1278,0.4,20,1.006,blends,q1_lowest,
1284,0.1,50,1.282,others,q2,
1289,0.1,50,1.034,answer,q1_lowest,
1292,0.2,19,0.961,only,q1_lowest,
1295,0.4,50,6.666,disease,q4_highest,
1301,0.4,50,5.007,make,q3,
1306,0.4,50,7.686,similar,q4_highest,
1308,0.30000000000000004,50,6.759,?,q4_highest,
1315,0.4,16,0.994,a,q1_lowest,
1329,0.1,50,1.492,imagery,q3,
1335,0.4,50,8.961,the,q4_highest,
1337,0.2,25,1.026,01,q1_lowest,
1349,0.2,50,10.479,weren,q4_highest,
1352,0.30000000000000004,50,5.72,contain,q4_highest,
1364,0.4,12,1.1,kind,q1_lowest,
1366,0.2,50,6.166,level,q4_highest,
1367,0.30000000000000004,50,5.625,feel,q3,lemma family: feel/feels/feeling/felt — subjective-experience description
1368,0.2,37,1.033,increasing,q1_lowest,
1370,0.4,50,7.721,countries,q4_highest,
1375,0.4,50,6.219,either,q4_highest,
1376,0.0,50,8.109,,q4_highest,
1381,0.30000000000000004,12,0.891,that,q1_lowest,
1390,0.30000000000000004,50,14.939,good,q4_highest,moral/value-laden discourse words (good/other/part) — casual philosophical musing
1392,0.30000000000000004,50,1.29,play,q2,
1393,0.30000000000000004,38,1.053,adhere,q1_lowest,
1400,0.2,50,1.099,don,q1_lowest,
1403,0.4,50,1.73,kinds,q3,
1407,0.1,11,0.97,least,q1_lowest,
1410,0.2,50,1.089,3,q1_lowest,
1419,0.30000000000000004,19,1.104,for,q1_lowest,
1423,0.2,50,1.276,part,q2,
1440,0.30000000000000004,50,4.744,car,q3,
1448,0.2,48,1.1,projects,q1_lowest,
1453,0.1,17,1.6059999999999999,165,q3,
1454,0.30000000000000004,50,3.4859999999999998,nature,q3,
1457,0.30000000000000004,14,1.039,6,q1_lowest,
1458,0.2,50,1.236,former,q2,
1460,0.4,11,0.977,shall,q1_lowest,
1480,0.2,50,1.438,mode,q3,
1483,0.2,50,1.513,difficulty,q3,
1485,0.30000000000000004,50,8.568,april,q4_highest,
1488,0.2,27,1.021,-,q1_lowest,
1489,0.30000000000000004,50,6.244,own,q4_highest,
1491,0.2,50,6.567,developer,q4_highest,
1492,0.30000000000000004,50,1.109,we,q1_lowest,
1497,0.1,30,0.981,had,q1_lowest,
1503,0.1,21,1.129,len,q2,
1505,0.1,37,1.022,guys,q1_lowest,
1506,0.4,50,7.277,format,q4_highest,
1509,0.2,50,1.1280000000000001,extends,q2,
1510,0.30000000000000004,50,4.999,subset,q3,
1511,0.1,50,1.529,quantity,q3,
1513,0.2,50,1.429,use,q2,how-to/product-instruction vocabulary (purpose/use this/find client) — software or recipe instructions
1514,0.30000000000000004,50,8.712,the,q4_highest,
1533,0.30000000000000004,50,5.065,with,q3,
1536,0.2,23,1.051,real,q1_lowest,
1542,0.1,50,8.472,call,q4_highest,
1550,0.2,12,0.995,if,q1_lowest,
1551,0.4,50,1.312,without,q2,
1552,0.2,50,1.396,named,q2,
1562,0.4,50,1.445,it,q3,
1570,0.2,50,1.237,lively,q2,
1575,0.4,50,4.344,step,q3,
1577,0.2,23,0.934,an,q1_lowest,
1578,0.30000000000000004,14,0.932,documentation,q1_lowest,
1580,0.4,50,7.803,second,q4_highest,
1581,0.30000000000000004,50,1.53,account,q3,
1582,0.30000000000000004,50,1.466,very,q3,
1585,0.30000000000000004,50,6.642,sega,q4_highest,
1591,0.2,50,1.046,between,q1_lowest,
1592,0.30000000000000004,50,4.697,account,q3,
1595,0.4,50,1.266,",",q2,
1598,0.30000000000000004,50,1.7930000000000001,);,q3,
1608,0.30000000000000004,50,5.036,well,q3,
1610,0.2,50,1.536,parts,q3,
1616,0.4,50,9.556000000000001,anyways,q4_highest,
1619,0.30000000000000004,50,9.212,being,q4_highest,
1622,0.2,43,1.026,',q1_lowest,
1623,0.30000000000000004,50,1.2530000000000001,advancements,q2,
1626,0.30000000000000004,50,6.07,use,q4_highest,
1627,0.2,50,1.325,charge,q2,
1630,0.2,11,0.887,",",q1_lowest,
1637,0.2,50,1.116,to,q1_lowest,"web-page navigation/header vocabulary ('Back To Top', 'Things To Do', capitalized list headers)"
1638,0.1,50,5.545,costume,q3,clothing/apparel nouns (costume/clothing/shoes/sweaters)
1639,0.2,21,1.068,obtain,q1_lowest,
1643,0.2,50,1.223,that,q2,
1645,0.2,18,1.003,placebo,q1_lowest,
1658,0.30000000000000004,26,1.065,-,q1_lowest,
1662,0.2,15,1.035,present,q1_lowest,
1665,0.1,42,1.011,driving,q1_lowest,
1666,0.4,50,1.188,going,q2,
1668,0.4,50,8.21,participate,q4_highest,
1682,0.30000000000000004,50,2.749,work,q3,
1685,0.30000000000000004,50,1.313,this,q2,
1686,0.2,50,5.631,configuration,q3,technical control-system vocabulary (configuration/control/calibration/settings)
1688,0.30000000000000004,50,4.054,communities,q3,
1689,0.30000000000000004,50,5.987,accordance,q4_highest,
1694,0.1,50,1.411,.,q2,
1696,0.1,50,1.487,vector,q3,
1698,0.30000000000000004,50,4.652,known,q3,
1703,0.2,50,6.206,it,q4_highest,
1705,0.4,50,6.159,flight,q4_highest,
1706,0.30000000000000004,50,9.919,according,q4_highest,
1709,0.4,50,9.089,=,q4_highest,
1711,0.1,22,1.068,reliance,q1_lowest,
1712,0.2,50,1.545,retrieved,q3,
1714,0.2,50,1.209,grab,q2,
1720,0.30000000000000004,50,5.82,between,q4_highest,
1727,0.30000000000000004,50,4.7379999999999995,affiliate,q3,
1729,0.30000000000000004,15,1.007,past,q1_lowest,
1730,0.2,50,5.949,>,q4_highest,
1732,0.2,50,1.3599999999999999,array,q2,
1738,0.1,50,1.3860000000000001,far,q2,
1739,0.2,50,1.228,medium,q2,
1740,0.4,50,5.867,it,q4_highest,
1765,0.1,50,1.384,physically,q2,
1769,0.4,50,5.384,the,q3,
1771,0.30000000000000004,25,1.052,22,q1_lowest,
1776,0.2,50,1.3900000000000001,something,q2,
1782,0.1,50,1.256,charge,q2,
1783,0.2,50,1.317,senators,q2,
1795,0.2,24,1.074,occurs,q1_lowest,
1796,0.1,13,1.141,excellence,q2,
1798,0.2,50,1.421,",",q2,"formal document register: prerequisites/consent/prohibits (course catalogs, legal decrees)"
1804,0.1,26,1.014,usa,q1_lowest,
1805,0.30000000000000004,12,0.966,a,q1_lowest,
1807,0.2,42,1.081,to,q1_lowest,
1810,0.2,30,1.046,right,q1_lowest,
1811,0.2,30,1.393,moment,q2,
1813,0.30000000000000004,26,1.209,mess,q2,
1814,0.2,50,5.239,investing,q3,
1816,0.2,50,4.9510000000000005,gathered,q3,
1819,0.2,12,1.098,that,q1_lowest,
1821,0.2,13,1.006,moreover,q1_lowest,
1823,0.2,50,4.47,1985,q3,
1837,0.30000000000000004,50,6.503,war,q4_highest,
1840,0.2,50,5.447,proteoliposomes,q3,
1841,0.1,28,0.962,5,q1_lowest,
1844,0.30000000000000004,11,0.9430000000000001,same,q1_lowest,
1846,0.30000000000000004,50,1.53,just,q3,
1847,0.2,50,1.45,expenditures,q3,
1848,0.2,30,1.0,billions,q1_lowest,
1849,0.1,11,0.887,rather,q1_lowest,
1850,0.1,50,1.07,frame,q1_lowest,
1851,0.2,10,0.963,your,q1_lowest,
1855,0.1,50,1.084,distances,q1_lowest,
1861,0.4,50,5.5280000000000005,beginners,q3,
1862,0.1,50,4.99,shield,q3,
1863,0.1,13,0.961,{,q1_lowest,
1864,0.2,50,5.314,structured,q3,
1865,0.4,50,10.334,1,q4_highest,
1866,0.2,32,1.071,necessary,q1_lowest,
1867,0.30000000000000004,50,1.361,as,q2,
1872,0.2,17,0.976,the,q1_lowest,
1873,0.4,50,1.1400000000000001,such,q2,
1874,0.2,50,1.461,previous,q3,
1876,0.30000000000000004,50,1.573,other,q3,
1878,0.2,50,1.321,partnership,q2,
1883,0.1,50,1.351,it,q2,
1884,0.2,50,5.475,natural,q3,
1885,0.2,50,1.712,parts,q3,
1887,0.30000000000000004,50,4.224,to,q3,
1891,0.1,28,0.965,resistant,q1_lowest,
1893,0.30000000000000004,50,5.712,development,q4_highest,
1897,0.2,50,1.42,harder,q2,
1901,0.30000000000000004,50,1.932,day,q3,
1904,0.2,50,1.4809999999999999,association,q3,
1909,0.1,50,5.3870000000000005,06033,q3,
1917,0.4,50,1.7269999999999999,others,q3,
1920,0.4,50,5.467,happy,q3,
1928,0.1,26,1.117,)-,q1_lowest,"quantitative-comparison reporting phrases ('vs', 'in terms of', 'per cent... in a row') + technical punctuation"
1929,0.2,50,3.35,tag,q3,
1931,0.2,50,1.327,got,q2,
1934,0.4,50,6.008,5,q4_highest,
1936,0.30000000000000004,36,1.076,said,q1_lowest,
1937,0.30000000000000004,50,1.448,that,q3,
1941,0.1,15,0.927,conditions,q1_lowest,
1944,0.30000000000000004,50,8.339,"',",q4_highest,
1956,0.2,20,0.891,whereas,q1_lowest,
1965,0.30000000000000004,50,1.279,version,q2,
1969,0.2,50,1.155,that,q2,
1970,0.2,50,10.919,8,q4_highest,
1971,0.2,23,1.074,which,q1_lowest,
1975,0.2,11,1.004,same,q1_lowest,
1978,0.30000000000000004,50,1.351,-,q2,
1980,0.1,11,0.906,"`,",q1_lowest,
1982,0.30000000000000004,50,1.309,which,q2,
1988,0.4,50,1.682,those,q3,
1990,0.1,50,1.097,48,q1_lowest,
1991,0.30000000000000004,50,5.226,some,q3,
1992,0.30000000000000004,50,1.381,sake,q2,
1996,0.0,50,6.8629999999999995,,q4_highest,
2002,0.1,50,1.213,dec,q2,
2009,0.2,50,1.121,i,q1_lowest,informal first-person reflective sentence-openers (I think/I felt/There may/A lot of people)
2010,0.2,50,5.963,a,q4_highest,
2012,0.1,50,1.083,advance,q1_lowest,
2016,0.1,10,0.917,continue,q1_lowest,
2022,0.30000000000000004,50,3.304,others,q3,
2024,0.2,27,0.97,odd,q1_lowest,
2028,0.2,50,1.659,has,q3,
2029,0.2,50,11.231,begin,q4_highest,
2036,0.1,50,6.167,client,q4_highest,
2043,0.2,23,1.06,defeats,q1_lowest,
2045,0.2,50,1.226,}.,q2,
2050,0.4,50,6.727,advantage,q4_highest,
2054,0.2,11,0.881,any,q1_lowest,
2055,0.2,50,1.428,be,q2,"reported-speech framing ('having said that', 'never for a moment') + code-syntax symbols — mixed/superposition"
2056,0.2,26,1.049,m,q1_lowest,
2059,0.2,27,0.967,followed,q1_lowest,
2070,0.2,50,10.305,independent,q4_highest,
2076,0.2,50,6.876,ml,q4_highest,
2079,0.1,50,1.338,and,q2,
2080,0.1,50,1.171,parts,q2,
2081,0.0,50,12.905,,q4_highest,"code-indentation whitespace tokens (same pattern as f166, different context slice)"
2083,0.4,50,12.603,shall,q4_highest,"regulatory 'shall' obligation language (statutes, permit requirements) + 'whether'"
2091,0.2,50,7.835,is,q4_highest,
2098,0.2,50,1.5750000000000002,patriarch,q3,
2101,0.4,50,7.202,transfers,q4_highest,
2117,0.4,50,1.171,-,q2,
2126,0.2,50,1.172,a,q2,
