fid,frac,n_total,mean_act,modal,top_words,bucket,cluster,dist_to_centroid,label
517,0.3,49,1.072,physical,"['physical', 'near', 'relatively', 'reduce', '"",', 'physical', 'suits', 'physical', 'reducing', 'potential']",q1_lowest,1,0.37732775786866063,"noisy grab-bag, no consistent theme"
528,0.3,34,1.03,as,"['percentage', 'relieving', 'as', 'something', 'as', 'length', 'as', 'into', 'until', 'whatever']",q1_lowest,11,0.3851232953615276,noisy grab-bag: academic/civic-program vocabulary
538,0.1,49,1.064,aunt,"['aunt', 'thousand', 'debt', 'taught', 'b', 'distance', 'hundred', 'locked', 'healthcare', 'father']",q1_lowest,5,0.2697523436434758,noisy grab-bag: weather/sports stats + biology-protocol recipe
556,0.1,10,1.048,be,"['be', 'suit', 'towards', 'could', 'things', 'being', 'been', 'most', 'might', 'out']",q1_lowest,8,0.36606523352504233,"noisy grab-bag, no consistent theme"
566,0.3,20,0.979,given,"['y', 'given', 'acting', 'york', 'york', 'given', 'given', 'con', 'respect', 'vitamin']",q1_lowest,0,0.30623880832694994,"noisy grab-bag, no consistent theme"
574,0.3,38,0.98,ways,"['10', 'ways', 'accommodates', 'ways', 'ï¿½', 'bounds', '10', '8', 'gives', 'ways']",q1_lowest,8,0.377654334145851,"noisy grab-bag, no consistent theme"
575,0.2,50,1.014,complete,"['toll', 'complete', 'verification', 'publication', 'complete', 'teachers', 'saturday', 'the', 'the', 'halloween']",q1_lowest,11,0.3156294024315451,noisy grab-bag: academic/civic-program vocabulary
605,0.3,14,0.984,respectively,"['had', 'respectively', '3', 'sight', 'our', 'respectively', 'respectively', 'had', 'existence', 'for']",q1_lowest,10,0.34608923346414244,'New Year's resolution' + 'part of' idiom — noisy
638,0.4,13,0.91,his,"['embodiment', '/>', 'his', 'his', 'enactment', 'out', 'so', 'legends', 'his', 'his']",q1_lowest,0,0.39502940456356483,"noisy grab-bag, no consistent theme"
639,0.2,50,1.041,pointed,"['could', 'pointed', 'factors', 'turned', 'turned', 'pointed', 'can', 'played', 'wanted', 'and']",q1_lowest,8,0.317058391623445,"noisy grab-bag, no consistent theme"
649,0.4,11,0.914,kilometers,"['kilometers', 'kilometers', 'seventy', 'centimeters', 'kilometers', 'km', 'centimeters', 'unions', 'kilometers', 'thousands']",q1_lowest,7,0.46065202803808514,noisy grab-bag: quiz/civic-institution vocabulary + tech jargon
671,0.1,50,1.091,dj,"['dj', 'mine', 'them', 'than', 'chef', 'like', 'yeah', 'mysterious', '"")', 'he']",q1_lowest,4,0.3085171584592999,'for goodness sake' exclamation idiom + noisy grab-bag
687,0.2,29,0.992,part,"['flag', 'part', 'option', 'part', 'document', 'american', ""'s"", 'art', 'and', 'v']",q1_lowest,10,0.30438719370559336,'New Year's resolution' + 'part of' idiom — noisy
691,0.3,13,0.907,you,"['little', 'you', 'twist', 'huh', 'you', 'huh', 'huh', 'skills', 'little', 'you']",q1_lowest,8,0.3705773861366841,"noisy grab-bag, no consistent theme"
698,0.3,12,0.928,fellow,"['dns', 'fellow', '29', 'ways', 'neuron', 'dns', 'fellow', 'loneliness', 'fellow', 'way']",q1_lowest,5,0.3536043420914788,noisy grab-bag: weather/sports stats + biology-protocol recipe
740,0.1,14,0.941,-,"['-', 'we', '/*', 'farmers', 'come', '|', 'families', 'a', 'leave', 'by']",q1_lowest,9,0.29463583760384005,"noisy grab-bag, no consistent theme"
748,0.2,43,1.042,reader,"['damage', 'away', 'provider', 'germans', 'reader', 'germany', 'dimensional', 'cry', 'reader', 'trick']",q1_lowest,8,0.3103324483480102,"noisy grab-bag, no consistent theme"
757,0.2,37,1.005,issue,"['&&', 'digital', 'issuance', 'issue', 'since', 'ensuring', 'ensuring', 'would', 'whether', 'issue']",q1_lowest,6,0.35702923427736644,'in addition to'/'takes into account' business-prose connective phrases
767,0.2,27,1.016,latter,"['fully', 'latter', 'complexity', 'complexity', 'challenges', 'figures', 'latter', 'third', 'joint', 'disposal']",q1_lowest,3,0.3529503467036164,'associated with' statistical-correlation phrase + noisy grab-bag
776,0.1,11,0.987,later,"['later', 'sorry', 'scenes', '60', 'thresholds', 'eventually', 'vi', 'poor', '2', '3']",q1_lowest,2,0.37915194083778103,"noisy grab-bag, no consistent theme"
778,0.3,23,0.98,$,"['$', '$', '$', 'publisher', ""''"", 'oldest', 'post', '->', 'few', 'judge']",q1_lowest,11,0.37461288351671884,noisy grab-bag: academic/civic-program vocabulary
784,0.3,11,0.89,property,"['prop', '488', 'property', 'suitable', 'estimate', 'property', 'property', 'huh', 'other', 'ability']",q1_lowest,8,0.37264272813015165,"noisy grab-bag, no consistent theme"
814,0.2,10,0.909,de,"['six', 'along', 'against', 'between', 'de', 'another', 'been', 'des', 'des', 'de']",q1_lowest,6,0.35282038798617654,'in addition to'/'takes into account' business-prose connective phrases
826,0.2,34,1.012,saying,"['her', 'things', 'sep', 'is', 'saying', 'are', 'for', 'saying', '.', 'have']",q1_lowest,9,0.31821122045582817,"noisy grab-bag, no consistent theme"
834,0.3,11,1.088,-,"['-', 'region', 'reducing', ""',"", 'region', 'low', 'we', '-', '-', 'film']",q1_lowest,9,0.3326769714416864,"noisy grab-bag, no consistent theme"
840,0.2,36,1.052,www,"['wake', 'footsteps', 'www', 'partnership', 'birthplace', 'www', 'bene', 'many', 'cocktails']",q1_lowest,6,0.33932285361399445,'in addition to'/'takes into account' business-prose connective phrases
847,0.3,44,0.996,the,"['the', '09', 'meticulously', '-', 'matter', 'the', 'unfolded', '00', 'through', 'the']",q1_lowest,9,0.279326523343454,"noisy grab-bag, no consistent theme"
859,0.3,12,0.922,spite,"['developing', 'models', 'spite', 'aria', 'introduce', 'spite', 'spite', 'teach', 'comprised', 'introduces']",q1_lowest,11,0.29844937674333205,noisy grab-bag: academic/civic-program vocabulary
873,0.3,48,1.002,-,"['-', 'done', 'things', 'they', 'they', 'learned', '-', 'weighted', '-', 'that']",q1_lowest,1,0.29031010385771544,"noisy grab-bag, no consistent theme"
879,0.2,33,1.079,"),","['whoever', 'showcases', '),', './', 'punitive', '),', '\\\\', 'caregivers', 'with', 'drawn']",q1_lowest,0,0.3803921956958604,"noisy grab-bag, no consistent theme"
890,0.2,46,1.06,being,"['being', 'being', 'seems', 'looks', 'there', 'females', 'latter', 'was', '40', 'worlds']",q1_lowest,1,0.36525958266039676,"noisy grab-bag, no consistent theme"
902,0.1,40,1.053,59,"['59', 'attributable', 'due', '238', '229', 'g', 'available', 'thanks', 'contains', 'responsive']",q1_lowest,10,0.35074417054465523,'New Year's resolution' + 'part of' idiom — noisy
903,0.3,10,0.995,the,"['things', 'your', 'the', 'the', 'farmers', 'to', 'your', 'doing', 'the', 'courts']",q1_lowest,9,0.38527353090039673,"noisy grab-bag, no consistent theme"
918,0.1,14,0.911,arch,"['arch', '16', 'residents', 'costs', '},', 'division', '])', '(),', 'least', ']),']",q1_lowest,2,0.4166716987784814,"noisy grab-bag, no consistent theme"
924,0.2,25,0.928,extent,"['check', 'prescribe', 'station', 'contain', 'extent', 'recruit', 'of', 'broadcast', 'extent', 'day']",q1_lowest,12,0.29920631891488886,noisy grab-bag: job-listing/product-spec vocabulary
927,0.4,14,1.035,communities,"['communities', 'representation', 'communities', 'communities', 'behind', 'communities', 'category', 'community', 'farms', 'dominant']",q1_lowest,11,0.3732472417621238,noisy grab-bag: academic/civic-program vocabulary
928,0.2,12,0.891,-,"[',-', '-', 'deletion', '-', 'month', '(),']",q1_lowest,0,0.4116450444086489,"noisy grab-bag, no consistent theme"
930,0.3,18,0.947,subject,"['subject', 'created', 'will', 'shall', 'subject', 'you', 'may', 'cast', 'who', 'subject']",q1_lowest,12,0.38259992874692184,noisy grab-bag: job-listing/product-spec vocabulary
946,0.3,43,0.999,also,"['respectively', 'part', '28', 'this', 'this', 'career', 'also', 'also', '|', 'also']",q1_lowest,9,0.3768729519109154,"noisy grab-bag, no consistent theme"
948,0.3,50,1.078,once,"[""'"", 'once', 'once', 'pour', 'for', 'once', 'for', 'need', 'then', 'wondering']",q1_lowest,0,0.3541788641548808,"noisy grab-bag, no consistent theme"
953,0.1,50,0.979,happened,"['happened', 'fuss', 'closed', 'dropped', 'are', 'majesty', 'down', 'mouse', 'stuff', 'steel']",q1_lowest,8,0.3084583224192576,"noisy grab-bag, no consistent theme"
960,0.2,44,0.96,bottom,"['bottom', 'result', 'it', ',', 'keeps', 'table', 'result', 'offer', 'experience', 'bottom']",q1_lowest,12,0.2510234874933929,noisy grab-bag: job-listing/product-spec vocabulary
962,0.2,12,0.855,going,"['don', 'going', 'going', 'didn', 'shall', '02', 'first', ',', 'wouldn', 'and']",q1_lowest,1,0.38345644788681515,"noisy grab-bag, no consistent theme"
989,0.2,50,1.024,assemble,"['nyc', 'summer', 'internship', 'competition', 'disorder', 'phd', ""')."", 'assemble', 'assemble', 'cone']",q1_lowest,11,0.30490905851050737,noisy grab-bag: academic/civic-program vocabulary
994,0.2,10,0.925,going,"['fg', 'going', 'yeah', 'companies', 'sometimes', 'hurdles', 'could', '\\', 'high', 'going']",q1_lowest,2,0.3265744533444939,"noisy grab-bag, no consistent theme"
1030,0.1,30,1.023,hey,"['hey', 'haired', 'a', 'i', 'proactive', 'sql', 'to', 'hair', 'participated', 'users']",q1_lowest,2,0.30399905962074986,"noisy grab-bag, no consistent theme"
1036,0.1,50,1.038,tell,"['tell', 'describes', '"").', 'who', 'sometimes', 'sorts', ',', '.', 'she', 'world']",q1_lowest,0,0.32095266813494017,"noisy grab-bag, no consistent theme"
1057,0.2,12,0.975,closer,"['minute', 'closer', 'closest', 'closer', 'near', 'from', 'from', 'align', 'chasing', 'clothing']",q1_lowest,8,0.3407786864396988,"noisy grab-bag, no consistent theme"
1072,0.2,35,1.051,into,"['least', '9', 'degrees', 'into', 'create', '/', 'into', 'children', 'author', '21']",q1_lowest,6,0.46077324697326055,'in addition to'/'takes into account' business-prose connective phrases
1080,0.2,12,0.935,to,"[""'s"", 'which', 'our', 'to', 'this', 'care', 'to', 'in', 'across', 'care']",q1_lowest,0,0.30143314481030414,"noisy grab-bag, no consistent theme"
1236,0.4,13,1.013,23,"['public', 'unified', '23', 'faithful', '23', '23', '26', '23', 'public', 'together']",q1_lowest,7,0.4023136045662068,noisy grab-bag: quiz/civic-institution vocabulary + tech jargon
1239,0.3,40,1.028,hour,"['terms', 'terms', 'hr', 'hour', 'eg', 'hr', 'hour', 'hour', 'million']",q1_lowest,11,0.41545006662824613,noisy grab-bag: academic/civic-program vocabulary
1278,0.2,12,0.964,w,"['this', 'w', 'por', 'w', 'knit', 'what', 'as', 'only', 'process', 'former']",q1_lowest,12,0.3421192173472502,noisy grab-bag: job-listing/product-spec vocabulary
1288,0.1,22,0.907,ah,"['ah', 'seth', 'attend', 'attending', 'another', 'darrell', 'going', 'of', 'waiver']",q1_lowest,0,0.30372840279979574,"noisy grab-bag, no consistent theme"
1294,0.2,19,0.903,11,"['whole', '11', 'thousands', 'her', 'a', '11', 'collins', 'cells', 'by', 'rare']",q1_lowest,5,0.3693017253794259,noisy grab-bag: weather/sports stats + biology-protocol recipe
1317,0.2,15,0.909,heard,"['utmost', 'advantage', 'spent', 'heard', 'written', 'in', 'heard', 'played', 'witnessed', 'that']",q1_lowest,9,0.34575244882457434,"noisy grab-bag, no consistent theme"
1337,0.2,46,1.071,02,"['âĩĵ', 'by', 'replied', '02', 'feb', 'fri', 'next', 'next', '02', 'mon']",q1_lowest,0,0.4489173055789976,"noisy grab-bag, no consistent theme"
1338,0.3,21,1.059,click,"['click', 'starts', 'click', 'sum', 'click', 'use', 'uses', 'start', '//', 'last']",q1_lowest,8,0.3372440523413304,"noisy grab-bag, no consistent theme"
1349,0.2,38,1.012,were,"['to', 'were', '<-', 'were', 'the', 'given', '->', 'greater', 'given', 'required']",q1_lowest,0,0.3416762218759106,"noisy grab-bag, no consistent theme"
1368,0.2,25,1.002,expected,"['pulled', 'ratios', 'closer', 'accustomed', 'average', 'up', 'expected', 'limited', 'promised', 'expected']",q1_lowest,0,0.39377848314843233,"noisy grab-bag, no consistent theme"
1387,0.2,28,0.974,>>,"['computation', 'group', 'ratios', '>>', 'values', 'values', 'functions', 'bureau', '>>', 'recommendations']",q1_lowest,6,0.406687570333855,'in addition to'/'takes into account' business-prose connective phrases
1388,0.2,18,0.994,fourth,"['fourth', 'fourth', 'choose', '4', 'goal', 'hospitality', 'use', '\\)', 'much', '4']",q1_lowest,5,0.41810044463959634,noisy grab-bag: weather/sports stats + biology-protocol recipe
1393,0.1,26,0.984,latter,"['latter', 'settings', 'responding', 'monitoring', 'recommendations', 'to', 'suburban', 'previous', 'respectively', 'subscribing']",q1_lowest,6,0.3212382586712497,'in addition to'/'takes into account' business-prose connective phrases
1410,0.1,50,1.076,defendant,"['defendant', 'was', 'taken', 'takes', 'and', 'tense', ""''"", 'months', '3']",q1_lowest,2,0.2881015348790566,"noisy grab-bag, no consistent theme"
1414,0.2,50,1.071,how,"['how', 'year', 'up', 'thing', 'year', 'how', 'you', 'job', 'up', 'else']",q1_lowest,0,0.39874103643867403,"noisy grab-bag, no consistent theme"
1420,0.2,27,0.959,ii,"['ii', 'gateway', "":'"", 'subscribe', 'variable', 'ii', 'subscribe', 'share', 'c', 'pact']",q1_lowest,7,0.35242946047315654,noisy grab-bag: quiz/civic-institution vocabulary + tech jargon
1466,0.1,50,1.068,orchestra,"['orchestra', 'lighting', 'together', 'however', 'throughout', 'passions', 'never', 'then', 'which', 'uh']",q1_lowest,4,0.27524538503710105,'for goodness sake' exclamation idiom + noisy grab-bag
1494,0.2,10,0.894,36,"['6', '36', '36', '174', ""'s"", 'screenings', 'specifies', 'benchmarks', '19', 'aspirations']",q1_lowest,3,0.4637246022801878,'associated with' statistical-correlation phrase + noisy grab-bag
1497,0.1,50,1.037,",","[',', 'late', 'c', 'allotted', 'larger', 'within', 'each', 'available', 'recommended', 'and']",q1_lowest,3,0.32185281845537417,'associated with' statistical-correlation phrase + noisy grab-bag
1501,0.1,11,0.946,"?""","['?""', '/', ""('"", 'asked', '199', '213', 'while', 'counts', 'â°', 'front']",q1_lowest,2,0.4235140291797669,"noisy grab-bag, no consistent theme"
1509,0.2,50,1.054,interval,"['interval', 'ion', 'extends', 'interval', 'duplication', 'verses', 'into', 'into', 'extends', 'sometimes']",q1_lowest,11,0.3964337853449624,noisy grab-bag: academic/civic-program vocabulary
1526,0.2,11,0.875,__,"[',', 'cry', '__', 'stop', '23', 'c', 'any', '__', 'any']",q1_lowest,12,0.3165316182512392,noisy grab-bag: job-listing/product-spec vocabulary
1547,0.2,50,1.081,annotation,"['likes', 'hands', 'annotation', 'odds', '>>', 'guide', 'annotation', 'position', 'or', 'safety']",q1_lowest,3,0.3612773537078763,'associated with' statistical-correlation phrase + noisy grab-bag
1564,0.3,50,1.082,scratch,"['perfection', 'scratch', 'server', '90', 'scratch', 'different', 'hour', 'scratch', 'common', 'ideals']",q1_lowest,11,0.3713558451465403,noisy grab-bag: academic/civic-program vocabulary
1569,0.2,50,1.082,last,"['1920', 'driver', '1980', 'numerical', 'flight', 'he', 'last', 'last', '1998', 'came']",q1_lowest,5,0.3746412377771725,noisy grab-bag: weather/sports stats + biology-protocol recipe
1577,0.2,21,0.954,s,"['s', 'respond', 'pg', 'receives', 'a', 's', 'deserves', 'according', 'has', 'through']",q1_lowest,9,0.3214736246280582,"noisy grab-bag, no consistent theme"
1578,0.3,11,0.939,into,"['that', 'documentation', 'into', 'into', 'into', 'at', 'documentation', 'a', '28', '23']",q1_lowest,0,0.48936157728867186,"noisy grab-bag, no consistent theme"
1579,0.2,33,0.99,international,"['way', 'international', 'an', 'college', 'week', 'living', '4', 'international', 'hole', 'life']",q1_lowest,5,0.3420871490722621,noisy grab-bag: weather/sports stats + biology-protocol recipe
1586,0.2,11,0.945,exists,"['53', '23', 'exists', '13', '77', '203', 'exists', '56', '103', 'former']",q1_lowest,7,0.6837163325616405,noisy grab-bag: quiz/civic-institution vocabulary + tech jargon
1606,0.4,19,0.987,"),","['another', '16', '),', '43', 'obtain', '),', 'most', '),', '),', 'this']",q1_lowest,6,0.43031181268967233,'in addition to'/'takes into account' business-prose connective phrases
1607,0.4,15,0.9,couldn,"['do', 'sooner', ""',"", 'hey', '45', 'couldn', 'couldn', 'couldn', ""',"", 'couldn']",q1_lowest,10,0.5038461163952012,'New Year's resolution' + 'part of' idiom — noisy
1630,0.2,22,0.952,19,"['too', 'exemplary', '19', 'a', 'xiao', '19', 'accusation', 'necessity', 'punitive', 'bill']",q1_lowest,6,0.3273167708984041,'in addition to'/'takes into account' business-prose connective phrases
1633,0.2,29,1.022,the,"['got', 'datasets', 'a', '-', 'genes', 'the', 'too', '7', 'that', 'the']",q1_lowest,1,0.3024292728244072,"noisy grab-bag, no consistent theme"
1647,0.2,12,0.863,follows,"['have', 'sectors', 'journal', 'day', 'documents', 'chapters', 'follows', 'follows', 'shows', 'the']",q1_lowest,12,0.31313578318505664,noisy grab-bag: job-listing/product-spec vocabulary
1653,0.1,11,0.907,different,"['different', 'for', 'components', 'various', '\\)', 'by', 'related', 'types', ':']",q1_lowest,0,0.42842232614923137,"noisy grab-bag, no consistent theme"
1665,0.2,47,1.036,mapping,"['calls', 'problem', 'ensuring', 'taking', 'nobody', 'one', 'head', 'mapping', 'mapping', 'mt']",q1_lowest,12,0.3224281604375635,noisy grab-bag: job-listing/product-spec vocabulary
1729,0.1,15,0.945,asked,"['asked', 'referring', 'looked', '6', 'bad', 'puts', ',', 'that', 'up', 'though']",q1_lowest,2,0.3437960922856794,"noisy grab-bag, no consistent theme"
1768,0.1,11,0.862,such,"['such', 'cost', 'lines', 'a', 'named', 'for', 'newer', 'idea', 'unspecified', 'smile']",q1_lowest,8,0.30478481375795397,"noisy grab-bag, no consistent theme"
1805,0.2,44,1.015,instant,"['a', 'instant', '#', 'this', '-', 'acting', 'while', 'instant']",q1_lowest,0,0.3552642256368331,"noisy grab-bag, no consistent theme"
1810,0.1,50,1.073,adventures,"['adventures', 'ending', 'and', '_', 'ended', 'th', '-', 'that', 'from', '~']",q1_lowest,12,0.34364983169243063,noisy grab-bag: job-listing/product-spec vocabulary
1815,0.2,50,1.017,20,"['20', 'west', 'parts', 'galaxy', 'improvement', '20', 'africa', 'administrative', 'institute', 'a']",q1_lowest,12,0.3447883285186105,noisy grab-bag: job-listing/product-spec vocabulary
1826,0.2,50,1.048,fri,"['fri', 'northeast', 'fri', '12', '),', '15', 'to', '16', 'phones', 'retaining']",q1_lowest,5,0.3025653002272464,noisy grab-bag: weather/sports stats + biology-protocol recipe
1838,0.1,11,0.861,equipment,"['equipment', 'didn', 'great', 'said', 'reset', 'mitigate', '@', 'from', 'compared', 'of']",q1_lowest,1,0.2837502247987511,"noisy grab-bag, no consistent theme"
1848,0.1,50,1.079,75,"['75', 'all', 'parts', 'found', 'behind', 'cameras', 'meanwhile', '20', 'while', 'arrived']",q1_lowest,10,0.32948525303473986,'New Year's resolution' + 'part of' idiom — noisy
1850,0.4,25,0.95,state,"['state', 'state', 'courtesy', 'out', 'duo', 'hobby', 'goods', 'state', 'together', 'state']",q1_lowest,11,0.33891470226241704,noisy grab-bag: academic/civic-program vocabulary
1855,0.1,50,1.081,essays,"['essays', 'surveys', 'h', 'high', 'transportation', 'seventy', 'gaps', 'and', 'pacific', 'himself']",q1_lowest,6,0.3306080974698328,'in addition to'/'takes into account' business-prose connective phrases
1891,0.2,50,1.053,granted,"['granted', 'near', 'dim', 'granted', 'ratio', 'unsigned', 'dim', 'aged', 'nomination']",q1_lowest,0,0.3287524934063198,"noisy grab-bag, no consistent theme"
1899,0.1,12,0.922,alley,"['alley', 'lb', 'much', 'not', 'day', 'same', 'sounds', 'hey', 'kcal', 'all']",q1_lowest,8,0.37178762019163275,"noisy grab-bag, no consistent theme"
1938,0.1,18,0.986,employees,"['employees', 'assigning', '15', '8', 'not', 'against', 'jp', 'establishment', '18', '491']",q1_lowest,8,0.38981743468406177,"noisy grab-bag, no consistent theme"
1941,0.3,18,0.969,rate,"['rate', 'contents', 'rate', 'awe', 'absence', 'rate', 'sight', 'case', 'evident', 'workings']",q1_lowest,4,0.3636053199739157,'for goodness sake' exclamation idiom + noisy grab-bag
1952,0.2,10,0.889,may,"['situated', 'may', 'you', 'sec', 'don', 't', 'another', 'may', 'doors', 'w']",q1_lowest,5,0.3884892098672271,noisy grab-bag: weather/sports stats + biology-protocol recipe
1956,0.3,24,0.967,click,"['};', 'click', '});', 'click', 'gems', '});', 'while', 'her', 'click', 'pp']",q1_lowest,11,0.448950924957178,noisy grab-bag: academic/civic-program vocabulary
1957,0.3,39,1.052,costs,"['costs', 'costs', 'rest', 'costs', 'screenplay', 'connecting', 'figuring', '>', 'friendships', 'f']",q1_lowest,2,0.33228007927696346,"noisy grab-bag, no consistent theme"
1969,0.1,50,1.093,:,"[':', 'as', 'this', 'there', 'that', ""'ll"", 'to', 'wednesday', 'another', ',']",q1_lowest,9,0.3230596135208334,"noisy grab-bag, no consistent theme"
1975,0.2,11,0.95,happy,"['less', 'happy', 'sum', 'course', 'total', 'happy', 'not', 'average', 'average', 'same']",q1_lowest,8,0.2992512751613017,"noisy grab-bag, no consistent theme"
1981,0.2,14,0.981,??,"['??', '??', 'forget', 'know', 'sure', 'a', 'vs', 'thursday', 'everyone', 'without']",q1_lowest,2,0.398291700086643,"noisy grab-bag, no consistent theme"
1991,0.2,14,0.893,yeah,"['yeah', 'besides', 'armour', 'pages', 'closer', 'every', 'own', 'too', 'waist', 'yeah']",q1_lowest,1,0.32593099470679,"noisy grab-bag, no consistent theme"
2004,0.2,40,1.023,associated,"['symmetry', 'associated', 'coincide', 'agents', 'associated', 'shade', 'the', 'obliged', 'width', 'yards']",q1_lowest,3,0.2914413939317566,'associated with' statistical-correlation phrase + noisy grab-bag
2009,0.3,50,1.079,avg,"['is', 'avg', 'avg', 'is', 'often', 'avg', 'and', 'i', 'i', '.']",q1_lowest,0,0.43311230024502356,"noisy grab-bag, no consistent theme"
2012,0.2,25,0.98,used,"['conflict', 'addition', 'used', 'architecture', 'last', 'that', 'modified', 'after', 'used', 'back']",q1_lowest,0,0.32157919486906084,"noisy grab-bag, no consistent theme"
2024,0.1,17,0.948,kilometers,"['kilometers', 'fans', 'decades', 'counterparts', 'strings', '23', 'especially', 'grounds', 'indirectly', 'points']",q1_lowest,7,0.3269288772527437,noisy grab-bag: quiz/civic-institution vocabulary + tech jargon
