feature_group_id,representative_feature_id,description,n_members,max_prob,final_prob,gap_to_threshold,all_feature_ids
16,208,"Instances of the modal verb ""can"" expressing ability, possibility, or permission in various contexts.",1,0.31883717,0.31883717,0.18116283,208
17,1047,"Temporal ordinal adjectives (first, next, last) used to indicate sequence or order in time.",1,0.30375173,0.292798776,0.19624827,1047
18,686,"Technical terms describing problems, malfunctions, or issues in systems and software.",1,0.303553849,0.303553849,0.196446151,686
19,2366,"The word ""end"" used as a noun to indicate the conclusion or final point of time periods, events, or durations.",1,0.282001489,0.208002322,0.217998511,2366
20,578,"All instances are the relative pronoun ""that"" used to introduce restrictive relative clauses modifying preceding nouns.",1,0.279005958,0.279005958,0.220994042,578
21,62,"The word ""as"" functioning as a comparative conjunction or adverb in various comparative constructions and phrases.",1,0.271537454,0.220359023,0.228462546,62
22,2880,"General nouns referring to unspecified objects, entities, or concepts, often used as vague or catch-all terms.",1,0.261636028,0.184261166,0.23836397199999998,2880
23,2412,Research and legal terminology with broader professional contexts,1,0.251987654,0.251987654,0.248012346,2412
24,1905,"Forms of the verb ""have"" (including ""have,"" ""has,"" ""had,"" and ""having"") used as auxiliary or main verbs to express possession, experience, or obligation.",1,0.240450415,0.240450415,0.259549585,1905
25,2700,"Infinitive verbs that follow ""to"" in sentences, representing actions or purposes.",1,0.235824339,0.168314444,0.264175661,2700
26,2982,"Third-person pronouns (they, their, them) used as subjects and objects in sentences.",1,0.22834494,0.196939136,0.27165506,2982
27,1727,"First-person plural pronouns (""we"" and ""us"") used as sentence subjects.",1,0.223129659,0.153963635,0.27687034099999996,1727
28,2126,"Words appearing after spaces in contexts involving numerical quantities, alternatives, or conditional phrases, typically functioning as conjunctions or determiners in ""one or more"" or ""whether or not"" constructions.",1,0.21714713,0.202524521,0.28285287000000003,2126
29,2541,Past participles used in perfect tense constructions (have/had + past participle).,1,0.193245529,0.142995374,0.306754471,2541
30,2719,Present participle verbs functioning as main verbs in progressive/continuous tenses,1,0.189083519,0.137940061,0.310916481,2719
31,2377,"All instances are the noun ""people"" (and one ""person"") used as a general term referring to groups of individuals in various contexts.",1,0.181788104,0.181788104,0.318211896,2377
32,1721,"Legal terms related to court rulings, judicial determinations, and legal decision-making processes.",1,0.16801791,0.155762636,0.33198209,1721
33,1265,"All instances are the noun ""result"" used to describe outcomes, consequences, or products of various processes or actions.",1,0.165590417,0.127546739,0.334409583,1265
34,1598,"Articles and adjectives that precede nouns in contexts describing developments, innovations, or additions",1,0.161416302,0.120122002,0.338583698,1598
35,502,"The word ""more"" functioning as an adverb or part of comparative constructions to indicate greater degree, frequency, or intensity.",1,0.160545565,0.125200666,0.339454435,502
36,2059,"The pronoun ""it"" appearing at the beginning of clauses or sentences, typically following a comma or period.",1,0.150330178,0.150330178,0.34966982199999996,2059
37,419,"Verb forms of ""use"" and ""used"" indicating utilization or employment of something.",1,0.141424643,0.130580229,0.358575357,419
38,433,"French function words (articles, pronouns, conjunctions) preceded by a space token",1,0.116508063,0.109530165,0.383491937,433
39,1798,"All instances show ""order"" used in the prepositional phrase ""in order to"" expressing purpose or intention.",1,0.111783244,0.0829037898,0.388216756,1798
40,1835,Possessive pronouns and determiners indicating ownership or association.,1,0.102452309,0.102230534,0.397547691,1835
41,2814,"Conditional statements beginning with ""if"" that introduce hypothetical scenarios or conditions in various contexts.",1,0.0889242548,0.0889242548,0.4110757452,2814
42,2301,"Numbers appearing in statistical or mathematical contexts, primarily representing percentages, measurements, or numerical values in data analysis.",1,0.0744665702,0.0707010904,0.4255334298,2301
43,2490,"Instances of the contrastive conjunction ""however"" appearing at the beginning of sentences or clauses to introduce contrasting information.",1,0.0453372123,0.0298217165,0.4546627877,2490
44,2364,"The word ""so"" functioning as an intensifier, conjunction, or adverb in various grammatical contexts.",1,0.0222119312,0.0144982213,0.4777880688,2364
45,1651,"Words functioning as indefinite determiners or quantifiers, with one instance of ""part"" that refers to a role or involvement rather than quantity",1,0.021653855,0.0146923929,0.478346145,1651
46,2269,"Conjunctions and transition words that introduce causal relationships, temporal sequences, or logical connections between clauses.",1,0.0173474134,0.0143255852,0.4826525866,2269
47,2461,"All instances use ""portion"" as a noun referring to a part or section of something larger.",1,0.0164719163,0.0136950841,0.4835280837,2461
48,2494,Prepositions and adverbs indicating accompaniment or conjunction,1,0.00918035725,0.0058925762,0.49081964275,2494
49,1004,"Subordinating conjunctions and prepositions that introduce dependent clauses, comparisons, or logical relationships between ideas.",1,0.00716360794,0.00635587339,0.49283639206,1004
