Feature ID,Topic,Max Prob,Gap to 0.5,Description
2719,Verb Forms and Actions,0.189083519,0.310916481,Present participle verbs functioning as main verbs in progressive/continuous tenses
2377,Names and Personal References,0.181788104,0.318211896,"All instances are the noun ""people"" (and one ""person"") used as a general term referring to groups of individuals in various contexts."
1721,Government and Legal Terminology,0.16801791,0.33198209,"Legal terms related to court rulings, judicial determinations, and legal decision-making processes."
1265,Outcomes and Results,0.165590417,0.334409583,"All instances are the noun ""result"" used to describe outcomes, consequences, or products of various processes or actions."
1598,Descriptive Modifiers and Determiners,0.161416302,0.338583698,"Articles and adjectives that precede nouns in contexts describing developments, innovations, or additions"
502,Comparative and Relational Terms,0.160545565,0.339454435,"The word ""more"" functioning as an adverb or part of comparative constructions to indicate greater degree, frequency, or intensity."
2059,Personal Pronouns and Subject References,0.150330178,0.34966982199999996,"The pronoun ""it"" appearing at the beginning of clauses or sentences, typically following a comma or period."
419,Verb Usage and Utilization,0.141424643,0.358575357,"Verb forms of ""use"" and ""used"" indicating utilization or employment of something."
433,Foreign Language Elements,0.116508063,0.383491937,"French function words (articles, pronouns, conjunctions) preceded by a space token"
1798,Purpose and Intention Language,0.111783244,0.388216756,"All instances show ""order"" used in the prepositional phrase ""in order to"" expressing purpose or intention."
1835,Pronouns and Possessives,0.102452309,0.397547691,Possessive pronouns and determiners indicating ownership or association.
2814,Existential and Locative Expressions,0.0889242548,0.4110757452,"Conditional statements beginning with ""if"" that introduce hypothetical scenarios or conditions in various contexts."
2301,Statistical and Scientific Notation,0.0744665702,0.4255334298,"Numbers appearing in statistical or mathematical contexts, primarily representing percentages, measurements, or numerical values in data analysis."
2490,Discourse Connectors and Transitions,0.0453372123,0.4546627877,"Instances of the contrastive conjunction ""however"" appearing at the beginning of sentences or clauses to introduce contrasting information."
2364,Intensifiers and Connectors,0.0222119312,0.4777880688,"The word ""so"" functioning as an intensifier, conjunction, or adverb in various grammatical contexts."
1651,Descriptive Modifiers and Determiners,0.021653855,0.478346145,"Words functioning as indefinite determiners or quantifiers, with one instance of ""part"" that refers to a role or involvement rather than quantity"
2269,Discourse Connectors and Transitions,0.0173474134,0.4826525866,"Conjunctions and transition words that introduce causal relationships, temporal sequences, or logical connections between clauses."
2461,Spatial and Portion Language,0.0164719163,0.4835280837,"All instances use ""portion"" as a noun referring to a part or section of something larger."
2494,Grammatical Function Words,0.00918035725,0.49081964275,Prepositions and adverbs indicating accompaniment or conjunction
1004,Coordinating Conjunctions and Connections,0.00716360794,0.49283639206,"Subordinating conjunctions and prepositions that introduce dependent clauses, comparisons, or logical relationships between ideas."
